"","Wi-1","Wi-2","Wi-3","HiN-1","H11-2","H11-3","hgnc_symbol"
"ENSG00000162174",725.992708267954,676.259317002185,410.02479037165,595.984607557685,617.033015018324,543.037448418654,"ASRGL1"
"ENSG00000254454",2.52959131800681,3.47393484761396,0,4.58449698121296,3.76814054973022,0,NA
"ENSG00000124942",650.948165833752,302.232331742415,361.527234521239,741.771611560257,315.581771039906,464.125696832004,"AHNAK"
"ENSG00000254772",22.7663218620613,47.4771095840575,17.6354748546946,31.1745794722481,52.7539676962231,33.2260006680629,"EEF1G"
"ENSG00000255508",26.1391102860704,35.8973267586776,50.701990207247,35.7590764534611,35.7973352224371,53.9922510856023,NA
"ENSG00000149016",372.693120853003,398.344529193068,357.118365807566,343.837273590972,396.596792859106,390.40550784974,"TUT1"
"ENSG00000149480",4522.90927659617,2928.52707653857,2616.66358156531,3655.67789281921,3316.90571890003,3901.97845345564,"MTA2"
"ENSG00000149499",752.975015660027,785.109275560756,652.5125696237,1051.68360749025,928.8466455085,727.857077134754,"EML3"
"ENSG00000254964",0,0,1.10221717841841,2.75069818872778,3.76814054973022,0,NA
"ENSG00000149489",18.5503363320499,32.4233919110637,17.6354748546946,27.5069818872778,31.0871595352743,35.3026257098169,"ROM1"
"ENSG00000149541",472.190379361271,818.690645754357,608.423882486964,855.467136694338,856.309939926193,681.13301369529,"B3GAT3"
"ENSG00000089597",11949.7893862642,10398.6449771911,10298.0150979632,13327.1327243861,11019.927037686,11798.345174725,"GANAB"
"ENSG00000185085",1069.17393041088,931.014539160542,743.996595432429,966.411963639692,1130.44216491907,1116.18595994274,"INTS5"
"ENSG00000278615",318.728506068858,273.282874678965,245.794430787306,318.164090496179,303.335314253283,383.137320203601,"C11orf98"
"ENSG00000162194",22.7663218620613,24.3175439332977,17.6354748546946,31.1745794722481,20.7247730235162,20.7662504175393,"LBHD1"
"ENSG00000214756",92.7516816602496,116.955806536337,106.915066306586,152.20529977627,113.044216491907,160.93844073593,"CSKMT"
"ENSG00000204922",737.797467751986,1003.96717096044,492.691078753031,644.580275558542,889.281169736333,764.198015365448,"UQCC3"
"ENSG00000162191",2445.27160740658,2889.15581493228,1918.96010762646,2228.98243226574,2599.07494417642,2371.50579768299,"UBXN1"
"ENSG00000177363",0,0,3.30665153525524,4.58449698121296,3.76814054973022,4.15325008350787,"LRRN4CL"
"ENSG00000234857",107.086032462288,18.5276525206078,81.5640712029626,88.0223420392888,31.0871595352743,121.482564942605,"HNRNPUL2-BSCL2"
"ENSG00000168000",198.151319910533,171.380785815622,152.105970621741,264.983925514109,211.015870784892,237.773567280825,"BSCL2"
"ENSG00000162188",69.9853597981884,77.5845449300452,62.8263791698495,49.5125673971,81.0150218191998,109.022814692082,"GNG3"
"ENSG00000214753",1514.38200238008,1706.85998846099,1460.4377614044,1445.95034787457,1787.04065570956,1865.84760001591,"HNRNPUL2"
"ENSG00000162222",423.284947213139,468.981204427885,407.820356014813,381.430148836918,447.466690280464,438.16788381008,"TTC9C"
"ENSG00000185670",255.488723118688,435.399834234283,564.335195350227,364.925959704552,536.017993199124,458.934134227619,"ZBTB3"
"ENSG00000168002",1249.61811109536,1689.49031422292,1233.3810226502,1160.79463564312,1585.44513629899,1650.91690819438,"POLR2G"
"ENSG00000267811",5.90237974201589,5.78989141268994,4.40886871367365,8.25209456618333,11.3044216491907,4.15325008350787,NA
"ENSG00000162227",623.122661335677,602.148706919754,438.682437010528,606.987400312596,538.844098611422,592.876449420748,"TAF6L"
"ENSG00000168569",415.696173259119,680.891230132337,440.886871367365,481.372183027361,628.337436667515,448.55100901885,"TMEM223"
"ENSG00000269176",13.4911536960363,34.7393484761396,16.5332576762762,10.0858933586685,20.7247730235162,12.4597502505236,NA
"ENSG00000185475",362.574755580976,503.720552904025,295.394203816135,367.676657893279,448.408725417897,371.715882473954,"TMEM179B"
"ENSG00000162231",873.552201818351,751.527905367154,812.33406049437,921.483893223805,908.121872484984,1122.415835068,"NXF1"
"ENSG00000162236",709.971963253911,631.098163983203,567.641846885483,563.893128689194,608.554698781431,612.604387317411,"STX5"
"ENSG00000269463",0,4.63191313015195,3.30665153525524,0.916899396242592,0,1.03831252087697,NA
"ENSG00000252361",0,1.15797828253799,1.10221717841841,3.66759758497037,2.82610541229767,0,"RNU6-118P"
"ENSG00000256690",10.1183652720272,15.0537176729938,24.2487779252051,16.5041891323667,8.478316236893,14.5363752922775,"STX5-DT"
"ENSG00000133316",1330.56503327158,1388.41596076305,1090.09278945581,1150.70874228445,1251.96469764787,1506.59146779248,"WDR74"
"ENSG00000255717",1755.53637469673,3131.17327598272,3165.56773641768,2453.62278434518,1692.8371419663,1585.50321937913,"SNHG1"
"ENSG00000277846",0,3.47393484761396,5.51108589209206,0.916899396242592,0.942035137432556,1.03831252087697,"SNORD30"
"ENSG00000168003",8147.81363529993,14994.6607805844,8848.59950834302,14766.6647764869,18278.3077716039,16217.4032635773,"SLC3A2"
"ENSG00000168539",12.647956590034,9.2638262603039,3.30665153525524,15.5872897361241,7.53628109946045,10.3831252087697,"CHRM1"
"ENSG00000257002",15.1775479080409,28.9494570634497,9.91995460576572,15.5872897361241,21.6668081609488,26.9961255428011,"LOC124902683"
"ENSG00000168004",726.835905373956,383.290811520074,260.123254106745,420.85682287535,325.002122414232,343.681444410276,"PLAAT5"
"ENSG00000133317",26.1391102860704,16.2116959555318,27.5554294604603,30.2576800760055,46.1597217341952,45.6857509185865,"LGALS12"
"ENSG00000133321",69.1421626921861,91.480284320501,38.5776012446444,56.8477625670407,44.2756514593301,26.9961255428011,"PLAAT4"
"ENSG00000133328",1.68639421200454,1.15797828253799,3.30665153525524,1.83379879248518,1.88407027486511,3.1149375626309,"PLAAT2"
"ENSG00000176485",3419.1642648392,3324.55564916656,2317.96272621392,2721.35740804801,3490.24018418762,3327.79162941068,"PLAAT3"
"ENSG00000184743",639.14340634972,810.584797776591,708.725645723039,681.256251408246,727.251126097933,610.527762275657,"ATL3"
"ENSG00000133318",7243.9063376655,7506.01522741124,6008.18583955877,7151.81529069222,8033.67565202484,6999.26470323164,"RTN3"
"ENSG00000188070",1403.92318149378,682.049208414875,919.249126800956,943.489478733627,663.192736752519,789.117515866495,"ZFTA"
"ENSG00000168005",2962.15143338597,3177.49240728424,2252.93191268724,2482.0466656287,2971.17882346228,2727.64699234379,"SPINDOC"
"ENSG00000072518",1382.84325384372,1438.20902691218,1314.94509385317,1533.05579051761,1722.98226636414,1896.99697564222,"MARK2"
"ENSG00000167771",3886.29546156446,2680.71972407544,1912.34680455595,2146.46148660391,2039.50607254148,2833.55486947324,"RCOR2"
"ENSG00000110583",873.552201818351,704.050795783097,661.330307051048,819.708060240877,686.743615188333,910.6000808091,"NAA40"
"ENSG00000176340",2655.22768680115,5086.99859518938,2345.51815567438,2985.42443416588,4302.27447265448,3100.40118733862,"COX8A"
"ENSG00000167770",2643.42292731711,3636.05180716928,2379.68688820535,2682.84763340582,3621.18306829074,3156.47006346598,"OTUB1"
"ENSG00000133315",608.788310533639,1038.70651943657,458.52234622206,586.815613595259,612.322839331161,294.880755929059,"MACROD1"
"ENSG00000256824",0.843197106002269,0,2.20443435683683,1.83379879248518,0.942035137432556,3.1149375626309,NA
"ENSG00000126500",19.3935334380522,4.63191313015195,28.6576466388787,10.0858933586685,8.478316236893,19.7279378966624,"FLRT1"
"ENSG00000168439",8904.16143938397,9113.28908357396,7917.22599257946,7907.34039319611,9604.04822612491,10439.194084897,"STIP1"
"ENSG00000149781",21.923124756059,13.8957393904559,15.4310404978578,29.3407806797629,28.2610541229767,4.15325008350787,"FERMT3"
"ENSG00000149743",455.326437241226,720.262491738628,491.588861574612,512.546762499609,698.048036837524,516.041322875853,"TRPT1"
"ENSG00000149761",310.296535008835,482.876943818341,346.096194023382,405.269533139226,567.105152734399,571.071886482332,"NUDT22"
"ENSG00000256116",1.68639421200454,0,1.10221717841841,3.66759758497037,0,0,NA
"ENSG00000110011",360.045164262969,519.932248859556,314.131895849248,298.909203175085,413.553425332892,285.535943241166,"DNAJC4"
"ENSG00000173511",597.826748155609,767.739601322686,538.984200246604,695.926641748127,778.121023519291,671.788201007398,"VEGFB"
"ENSG00000173486",976.422248750628,1516.95155012476,917.04469244412,1038.84701594286,1389.50182771302,1180.56133623711,"FKBP2"
"ENSG00000173457",5419.22780027659,9366.88632744978,4706.46735184662,5835.14775768786,7925.34161122009,7281.68570891017,"PPP1R14B"
"ENSG00000256940",16.0207450140431,28.9494570634497,37.475384066226,28.4238812835203,32.9712298101395,29.0727505845551,"PPP1R14B-AS1"
"ENSG00000257086",51.4350234661384,69.4786969522793,222.647870040519,152.20529977627,96.0875840181207,159.900128215053,NA
"ENSG00000149782",3145.12520538847,2315.95656507598,2934.10212894981,3069.7791786202,3022.04872088364,4572.72834194216,"PLCB3"
"ENSG00000002330",356.67237583896,496.772683208797,238.078910538377,333.751380232303,466.307393029115,401.826945579386,"BAD"
"ENSG00000173264",548.921316007477,815.216710906743,672.352478835232,687.674547181944,841.237377727272,775.619453095094,"GPR137"
"ENSG00000182450",0,1.15797828253799,4.40886871367365,0.916899396242592,0,1.03831252087697,"KCNK4"
"ENSG00000219435",3.37278842400908,0,2.20443435683683,2.75069818872778,2.82610541229767,2.07662504175393,"CATSPERZ"
"ENSG00000173153",800.194053596154,764.265666475072,879.569308377893,903.145905298953,1082.39837291001,1305.15883874235,"ESRRA"
"ENSG00000173113",3592.01967156967,5553.66384305219,2551.63276803863,3238.48866752883,4580.17483819709,3551.02882139923,"TRMT112"
"ENSG00000126432",4931.85987300727,7114.6185679134,3567.8770065404,4554.23930113695,6225.91022329176,5531.0907987116,"PRDX5"
