,Wi-1,Wi-2,Wi-3,H11-1,H11-2,H11-3,hgnc_symbol
ENSG00000131242,11.29982786,10.94413906,11.18047862,11.0793507,11.03718782,11.20254583,RAB11FIP4
ENSG00000172301,9.63896034,10.03005075,9.217682227,9.42648587,9.984055707,9.83374564,COPRS
ENSG00000108651,10.784361,10.35388587,10.65753864,10.35104301,10.43096382,10.93964843,UTP6
ENSG00000263990,5.189162296,5.445850141,5.688194314,5.939237045,5.189162296,5.432258496,NA
ENSG00000178691,10.556852,9.892499751,10.46159633,10.22507483,10.09893618,10.26641285,SUZ12
ENSG00000185158,7.898184114,7.748171377,7.988690109,7.882868739,7.888223598,7.778310522,LRRC37B
ENSG00000266777,5.498743378,5.445850141,6.17303262,6.191698982,5.914592584,5.532547962,NA
ENSG00000278867,6.053486502,5.908663472,6.20214248,6.032849889,5.839347655,5.781166397,NA
ENSG00000264164,7.569154273,7.715785922,7.061141448,7.164490814,6.820170782,6.729392189,NA
ENSG00000266379,5.189162296,5.189162296,5.439609499,5.417635302,5.589411128,5.432258496,NA
ENSG00000263369,5.189162296,5.700534186,5.798853599,5.584068768,5.189162296,5.189162296,NA
ENSG00000265574,6.174955474,6.226424016,6.20214248,6.116137144,5.914592584,5.827866732,NA
ENSG00000277511,5.567959004,5.863047618,6.111632181,5.971810852,5.516311776,5.730209027,NA
ENSG00000214708,6.128506336,6.70314671,6.334985373,6.304721166,6.252301529,6.416476858,LOC105371730
ENSG00000126858,10.15284466,9.896015965,10.07569254,9.961135168,10.1100587,10.05151362,RHOT1
ENSG00000265293,5.408278755,5.189162296,5.189162296,5.189162296,5.650840947,5.432258496,NA
ENSG00000280033,5.189162296,5.189162296,5.439609499,5.789926876,5.420739173,5.432258496,NA
ENSG00000280020,5.804830675,5.81385455,6.009739195,6.167254365,6.073126343,6.053701401,NA
ENSG00000141314,10.54060003,9.550297585,8.488416592,9.125085932,8.775660316,8.843722001,RHBDL3
ENSG00000108666,9.885627475,10.04437715,9.637629118,9.683500695,9.681599736,9.349571506,C17orf75
ENSG00000010244,12.24283883,12.26918678,12.10688728,12.12757623,12.29571344,12.15194122,ZNF207
ENSG00000108671,11.86902238,12.18593863,11.74442783,11.79115151,12.23187651,12.11019561,PSMD11
ENSG00000176749,8.650599814,8.409470901,8.583567305,8.755091578,8.556640223,8.71682867,CDK5R1
ENSG00000176658,9.649623432,9.307527226,9.603211621,9.571231513,9.596199164,9.996783775,MYO1D
ENSG00000279781,5.408278755,5.445850141,5.189162296,5.417635302,5.420739173,5.730209027,NA
ENSG00000226377,5.677261421,5.700534186,5.688194314,5.745928069,5.839347655,5.827866732,NA
ENSG00000236377,5.498743378,5.189162296,5.439609499,5.511936063,5.753413462,5.189162296,MYO1D-DT
ENSG00000006042,10.80763343,10.91846514,10.25181722,10.55837123,10.74090215,10.65645698,TMEM98
ENSG00000108684,6.496041524,6.226424016,6.111632181,6.261191164,5.949220366,6.227492327,ASIC2
ENSG00000265115,5.189162296,5.189162296,5.688194314,5.789926876,5.420739173,5.189162296,NA
ENSG00000264643,5.189162296,5.445850141,5.846904353,5.644691308,5.753413462,5.189162296,NA
ENSG00000265689,5.189162296,5.189162296,5.189162296,5.644691308,5.516311776,5.781166397,NA
ENSG00000279668,5.626144188,6.133897013,6.111632181,5.971810852,6.180073376,5.827866732,NA
ENSG00000226049,6.152051419,5.700534186,5.688194314,5.584068768,6.013751239,5.949963422,TLK2P1
ENSG00000263571,6.128506336,6.255214033,6.47326014,6.191698982,6.401586645,6.437700094,NA
ENSG00000261156,5.408278755,5.551698105,5.891468628,5.745928069,5.650840947,5.67365026,LINC01989
ENSG00000108691,6.240240813,6.756684702,6.45150283,6.496996104,6.707438434,6.458485851,CCL2
ENSG00000181291,6.152051419,6.196670176,5.746412163,6.238623636,6.204813808,5.949963422,TMEM132E
ENSG00000132141,6.896406344,6.949157882,6.47326014,6.581049045,6.531201854,6.02071024,CCT6B
ENSG00000198783,8.904300853,8.700448171,8.890799683,8.833088131,8.940599229,8.79023176,ZNF830
ENSG00000005156,11.17750632,10.59560309,10.81064642,10.87962401,10.55637201,11.15734024,LIG3
ENSG00000092871,9.093000999,8.975579556,8.950203456,8.953389786,8.923812824,8.9632511,RFFL
ENSG00000243423,5.189162296,5.189162296,5.439609499,5.697936966,5.189162296,5.432258496,NA
